suburb,address,rooms,price,agent_seller,date,distance,postcode,bathroom,carspots,landsize,building_area,year_built,council_area,latitude,longitude,region_name,property_count,method,type
Abbotsford,85 Turner St,2,1480000.0,Biggin,2016-12-03,2.5,3067,1,1,202.0,126.0,1950,Yarra,-37.7996,144.9984,Northern Metropolitan,4019,property sold,house
Abbotsford,25 Bloomburg St,2,1035000.0,Biggin,2016-02-04,2.5,3067,1,0,156.0,79.0,1900,Yarra,-37.8079,144.9934,Northern Metropolitan,4019,property sold,house
Abbotsford,5 Charles St,3,1465000.0,Biggin,2017-03-04,2.5,3067,2,0,134.0,150.0,1900,Yarra,-37.8093,144.9944,Northern Metropolitan,4019,property sold prior,house
Abbotsford,40 Federation La,3,850000.0,Biggin,2017-03-04,2.5,3067,2,1,94.0,126.0,1950,Yarra,-37.7969,144.9969,Northern Metropolitan,4019,property passed in,house
Abbotsford,55a Park St,4,1600000.0,Nelson,2016-06-04,2.5,3067,1,2,120.0,142.0,2014,Yarra,-37.8072,144.9941,Northern Metropolitan,4019,vendor bid,house
Abbotsford,129 Charles St,2,941000.0,Jellis,2016-05-07,2.5,3067,1,0,181.0,126.0,1950,Yarra,-37.8041,144.9953,Northern Metropolitan,4019,property sold,house
Abbotsford,124 Yarra St,3,1876000.0,Nelson,2016-05-07,2.5,3067,2,0,245.0,210.0,1910,Yarra,-37.8024,144.9993,Northern Metropolitan,4019,property sold,house
Abbotsford,98 Charles St,2,1636000.0,Nelson,2016-10-08,2.5,3067,1,2,256.0,107.0,1890,Yarra,-37.806,144.9954,Northern Metropolitan,4019,property sold,house
Abbotsford,6/241 Nicholson St,1,300000.0,Biggin,2016-10-08,2.5,3067,1,1,0.0,126.0,1950,Yarra,-37.8008,144.9973,Northern Metropolitan,4019,property sold,"unit, duplex"
Abbotsford,10 Valiant St,2,1097000.0,Biggin,2016-10-08,2.5,3067,1,2,220.0,75.0,1900,Yarra,-37.801,144.9989,Northern Metropolitan,4019,property sold,house
Abbotsford,411/8 Grosvenor St,2,700000.0,Jellis,2016-11-12,2.5,3067,2,1,0.0,126.0,1950,Yarra,-37.811,145.0067,Northern Metropolitan,4019,vendor bid,"unit, duplex"
Abbotsford,40 Nicholson St,3,1350000.0,Nelson,2016-11-12,2.5,3067,2,2,214.0,190.0,2005,Yarra,-37.8085,144.9964,Northern Metropolitan,4019,vendor bid,house
Abbotsford,123/56 Nicholson St,2,750000.0,Biggin,2016-11-12,2.5,3067,2,1,0.0,94.0,2009,Yarra,-37.8078,144.9965,Northern Metropolitan,4019,property sold,"unit, duplex"
Abbotsford,45 William St,2,1172500.0,Biggin,2016-08-13,2.5,3067,1,1,195.0,126.0,1950,Yarra,-37.8084,144.9973,Northern Metropolitan,4019,property sold,house
Abbotsford,7/20 Abbotsford St,1,441000.0,Greg,2016-05-14,2.5,3067,1,1,0.0,126.0,1950,Yarra,-37.8016,144.9988,Northern Metropolitan,4019,property sold prior,"unit, duplex"
Abbotsford,16 William St,2,1310000.0,Jellis,2016-10-15,2.5,3067,1,2,238.0,97.0,1890,Yarra,-37.809,144.9976,Northern Metropolitan,4019,property sold,house
Abbotsford,42 Henry St,3,1200000.0,Jellis,2016-07-16,2.5,3067,2,1,113.0,110.0,1880,Yarra,-37.8056,144.993,Northern Metropolitan,4019,property sold,house
Abbotsford,78 Yarra St,3,1176500.0,LITTLE,2016-07-16,2.5,3067,1,1,138.0,105.0,1890,Yarra,-37.8021,144.9965,Northern Metropolitan,4019,property sold,house
Abbotsford,196 Nicholson St,3,955000.0,Collins,2016-09-17,2.5,3067,1,0,183.0,126.0,1950,Yarra,-37.8022,144.9975,Northern Metropolitan,4019,property sold,house
Abbotsford,42 Valiant St,2,890000.0,Biggin,2016-09-17,2.5,3067,1,1,150.0,73.0,1985,Yarra,-37.8011,145.0004,Northern Metropolitan,4019,property sold,house
Abbotsford,3/72 Charles St,4,1330000.0,Kay,2017-03-18,2.5,3067,2,2,780.0,135.0,1900,Yarra,-37.8073,144.9952,Northern Metropolitan,4019,property passed in,house
Abbotsford,13/11 Nicholson St,3,900000.0,Beller,2017-03-18,2.5,3067,2,2,0.0,126.0,2010,Yarra,-37.8093,144.9959,Northern Metropolitan,4019,property sold,townhouse
Abbotsford,138/56 Nicholson St,3,1090000.0,Jellis,2017-03-18,2.5,3067,2,2,4290.0,27.0,1950,Yarra,-37.8078,144.9965,Northern Metropolitan,4019,property sold,"unit, duplex"
Abbotsford,6/219 Nicholson St,2,500000.0,Collins,2016-06-18,2.5,3067,1,1,0.0,60.0,1970,Yarra,-37.8015,144.9972,Northern Metropolitan,4019,property sold,"unit, duplex"
Abbotsford,52a William St,2,1100000.0,Biggin,2016-06-18,2.5,3067,2,1,124.0,135.0,2013,Yarra,-37.8079,144.9977,Northern Metropolitan,4019,property passed in,house
Abbotsford,49 Park St,2,1315000.0,Marshall,2016-11-19,2.5,3067,1,0,147.0,85.0,1900,Yarra,-37.808,144.994,Northern Metropolitan,4019,property sold,house
Abbotsford,5/20 Abbotsford St,1,426000.0,Greg,2016-08-22,2.5,3067,1,1,0.0,126.0,1950,Yarra,-37.8016,144.9988,Northern Metropolitan,4019,property sold prior,"unit, duplex"
Abbotsford,48 Abbotsford St,3,1447500.0,Nelson,2016-08-22,2.5,3067,3,1,166.0,174.0,2012,Yarra,-37.8017,145.0001,Northern Metropolitan,4019,property passed in,house
Abbotsford,116/56 Nicholson St,1,457000.0,Jellis,2016-08-22,2.5,3067,1,1,0.0,50.0,1950,Yarra,-37.8078,144.9965,Northern Metropolitan,4019,property sold,"unit, duplex"
Abbotsford,159 Park St,2,1135000.0,Nelson,2016-08-22,2.5,3067,2,2,98.0,128.0,1920,Yarra,-37.8005,144.9952,Northern Metropolitan,4019,property sold,house
